attack,bit_accuracy,bit_error_rate,snr_db,payload_true,payload_recovered,success
clean,1.0000,0.0000,104.30,42,42,1
noise_30dB,1.0000,0.0000,30.02,42,42,1
noise_20dB,0.9062,0.0938,19.99,42,134480938,1
noise_10dB,0.6250,0.3750,10.03,42,2571259442,0
mp3_64k,0.8438,0.1562,16.42,42,272925738,0
mp3_32k,0.6250,0.3750,11.55,42,1228276555,0
resample_8k,0.7188,0.2812,13.19,42,1109543147,0
resample_16k,1.0000,0.0000,32.82,42,42,1
lowpass_4k,0.7500,0.2500,-0.40,42,1109526763,0
highpass_200,0.7812,0.2188,0.03,42,37782795,0
bandpass_phone,0.6250,0.3750,-1.62,42,1382188363,0
echo_120ms,0.6250,0.3750,5.57,42,3238548755,0
reverb_400ms,0.6250,0.3750,-3.53,42,21333779,0
dropout_5pct,0.9062,0.0938,13.26,42,41066,1
dropout_15pct,0.7812,0.2188,8.30,42,2315296875,0
